SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,SingleLayerSum-Splitted,singleLayerInfTimeProf
sequential-mobilenetv2_1.00_160-block_6_pad-Pad_0,0.06864289599993753,0.11145346679986687,0.9242000000000001,4.0,0.0065298550000534306,0.0004013279976788908,84672,0.21658236100006434,0.004028806800033635,Pad,0,576,0.17912977920077539,0
sequential-mobilenetv2_1.00_160-block_6_depthwise_BN-FusedBatchNormV3_0,0.07396571460003543,0.12153465099690948,0.9516,3.8,0.0042974039999990055,0.00015590200200676918,19200,0.18444859800001723,0.0036247990000902062,Conv,1920,331776,0.1637257764036349,0
sequential-mobilenetv2_1.00_160-block_6_project_BN-FusedBatchNormV3_0,0.0730417951999243,0.12901404640142572,0.9488,3.8,0.004534272999990208,0.00011161399743286893,6400,0.18317529000000832,0.003924990999894362,Conv,12352,12864,0.15717030039922975,0
sequential-mobilenetv2_1.00_160-block_7_add-add_0,0.07727335640024649,0.1127181322008255,0.9688000000000001,4.0,0.0023280249999970692,0.00011041299876524135,6400,0.20633483899996463,0.008208321199890633,Add,54592,1386112,0.1692346533995078,0
sequential-mobilenetv2_1.00_160-block_8_add-add_0,0.09307922839998355,0.12148569699784276,0.9492,4.2,0.008090385000059541,0.00011766600073315203,6400,0.18007245400008287,0.007283704799965563,Add,53440,1384960,0.1446612166027535,0
sequential-mobilenetv2_1.00_160-block_9_add-add_0,0.09181397900015327,0.12993752600159497,0.9513999999999999,4.0,0.0022278220001226146,0.00011387599806766957,6400,0.1661698030000025,0.00723186860000169,Add,53440,1384960,0.13747463699883156,0
sequential-mobilenetv2_1.00_160-block_10_expand_BN-FusedBatchNormV3_0,0.08561622479992366,0.10710031400085426,0.9452,4.0,0.005900137000026007,0.00021599500178126618,38400,0.3431018089997906,0.0037170491999404475,Conv,24960,24576,0.16650960319980185,0
sequential-mobilenetv2_1.00_160-block_10_depthwise_BN-FusedBatchNormV3_0,0.10202360119997138,0.1391768837987911,0.933,4.2,0.00429592299997239,0.00025986599939642474,38400,0.18715417799990064,0.0043151942001259155,Conv,3840,1328256,0.11802565700181733,0
sequential-mobilenetv2_1.00_160-block_10_project_BN-FusedBatchNormV3_0,0.09661793340019358,0.10979430580482585,0.9338,3.6,0.003978942999992796,0.00012867899931734428,9600,0.16521426999997857,0.0048099104000812075,Conv,36960,38016,0.15281390279556034,0
sequential-mobilenetv2_1.00_160-block_11_add-add_0,0.10926693899991732,0.1116194758011261,0.9276,4.0,0.0019215090001125645,0.00013197900261729956,9600,0.21790276199999425,0.011859372600019924,Add,118752,3111360,0.13833972719953636,0
