SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLength,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,singleLayerInfTimeProf
NO_SPLIT,2.011446839799919,0.0,0.0,0.0,0,0,0,0,0.0,,,,
NO_SPLIT,0.0,1.6621080595999955,2.5953999999999997,8.4,0,0.008299542998429388,2457600,0.3001772540001184,0.0,,,,
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.10176612980012578,1.5485091483802536,2.5238,9.2,0.1982337220001682,0.021302237000782043,6553600,0.5270654930000092,0.07354293540047366,Conv,896,864,0
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.19939632539953892,1.463552064797841,2.4417999999999997,6.8,0.16300540200018077,0.021143884980119765,6553600,0.5213687149998805,0.12611458099981973,Conv,320,9312,0.117834
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.24182326739992277,1.2835336235933936,2.1944,9.0,0.07788481199986563,0.010777066985610873,3276800,0.37193820800030153,0.0753349197996613,Conv,528,608,0
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,0.8766202307999265,1.2514483509934506,2.5612000000000004,7.6,0.40985405900028127,0.06348791799973696,19660800,1.316031194000061,0.3443830370003525,Conv,1536,1536,0.111132
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.4880392518000917,1.2198005393962377,2.4914,8.0,0.46666580600003726,0.06489023100584745,19660800,1.3333114770002794,0.1702562437997585,BatchNormalization,384,288,0.037261
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,1.2915997516000062,1.3434468930005097,2.6852,8.4,0.4791885210001965,0.0650987490080297,20155392,1.3234143660001791,0.3634998759999689,Pad,0,288,0
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.5165327140001864,1.209038114408031,2.1484,8.0,0.14095041699965805,0.01619598298566416,4915200,0.49564063299976624,0.16628519399982905,Conv,960,82944,0
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.533157877800113,1.1058763024047948,1.9649999999999999,8.4,0.03361864599992259,0.0039139530272223055,1228800,0.24466216399969198,0.04395032200018249,Conv,2328,2592,0.105572
sequential-mobilenetv2_1.00_160-block_2_add-add_0,0.7193424094000875,1.0070233545848168,1.8018,8.2,0.024792100000013306,0.004210620012599975,1228800,0.32403925700009495,0.2061193479999929,Add,8952,233232,0.106244
