SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLength,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,singleLayerInfTimeProf
sequential-mobilenetv2_1.00_160-block_13_project_BN-FusedBatchNormV3_0,0.4855487137989257,0.3545244665932842,1.1718,4.4,0.0024804449931252748,0.0005145280156284571,128000,0.13301388399850111,0.005999486599466764,Conv,92320,93888,0.002698
sequential-mobilenetv2_1.00_160-block_14_add-add_0,0.520689209800912,0.23819463418330997,1.1022000000000003,4.4,0.002683079001144506,0.0005117139662615955,128000,0.1309484989978955,0.034666658198693766,Add,320800,8614240,0.000155
sequential-mobilenetv2_1.00_160-block_15_add-add_0,0.551116616402578,0.19327584620332344,1.0264000000000002,4.0,0.0023938480007927865,0.0005271299742162228,128000,0.1284091380002792,0.03223026159976143,Add,317920,8611360,0
sequential-mobilenetv2_1.00_160-block_16_expand_BN-FusedBatchNormV3_0,0.5562954968001577,0.15907115361187607,1.0018,4.2,0.00653559200145537,0.0026466749841347337,768000,0.16002496500004781,0.008478932002617512,Conv,154560,153600,0.002111
sequential-mobilenetv2_1.00_160-block_16_depthwise_BN-FusedBatchNormV3_0,0.580358283201349,0.16544789840700105,0.9896,3.8,0.010579731002508197,0.0026886900304816663,768000,0.16785774199524894,0.022626569398562425,Conv,9600,8297280,0
sequential-mobilenetv2_1.00_160-block_16_project_BN-FusedBatchNormV3_0,0.5939278762045432,0.12031084479531273,0.9743999999999999,4.0,0.0033959459979087114,0.0009761049877852201,256000,0.14190226099890424,0.017420894601673353,Conv,307520,310080,0.017014
sequential-mobilenetv2_1.00_160-Conv_1-Conv2D_0,0.6038523983981576,0.06648917300626636,0.8732,4.0,0.01054180899518542,0.0035021600197069347,1024000,0.17908911900303792,0.012196186797518748,Conv,409600,409600,0.002731
sequential-mobilenetv2_1.00_160-Conv_1_bn-FusedBatchNormV3_0,0.6060041447984986,0.05620962759712711,0.8824,3.8,0.010400777995528188,0.0035153679782524705,1024000,0.17709708199981833,0.004678658999910113,BatchNormalization,5120,3840,0.000142
sequential-global_average_pooling2d-Mean_0,0.5978132924021338,0.025389734201598912,0.8154,4.0,0.0021349550006561913,0.0002727439859881997,40960,0.13674468800309114,0.0032329745998140426,GlobalAveragePool,0,35840,0
sequential-dense-MatMul_0,0.5999803047976456,0.02747832901077345,0.8278000000000001,3.6,0.0007670790000702254,9.179097833111882e-05,32,0.12859919099719264,0.002415160399687011,MatMul,1280,1280,0.002041
