SplitLayer,Time1,Time2,Time3,Time4
NO_SPLIT,0.46554636799919535,0,0,0
NO_SPLIT,0,0.17481612600022345,1.52,0
245,0,0.5794499369985715,1.105,0
246,0.6617342740028107,0.15015572500124108,1.241,0
247,0.582810473999416,0.14759984799820813,1.157,0
248,0.500131903001602,0.1771307640010491,1.255,0
249,0.6050919330009492,0.2823878120034351,1.258,0
250,0.6049392479981179,0.1993419799982803,1.153,0
251,0.5408993860000919,0.12311396700170008,1.155,0
252,0.5024124279989337,0.18442837600014172,1.177,0
253,0.5426519739994546,0.18702746800045134,1.136,0
254,0.5348181940025825,0.18546139799946104,1.08,0
255,0.4935562140017282,0.1533500220029964,1.168,0
256,0.5189135460022953,0.28698136800085194,1.238,0
257,0.5170924910016765,0.2683293139998568,1.119,0
258,0.5703419769997708,0.18728223700236413,1.27,0
259,0.5277126799992402,0.18277214899717364,1.173,0
260,0.5517144899968116,0.15763444299955154,1.197,0
261,0.5360934499985888,0.13551230599841801,1.23,0
262,0.5746882550010923,0.1808824560030189,1.251,0
263,0.8224411789997248,0.19047888800196233,1.204,0
264,0.5229384719968948,0.1737250940022932,1.145,0
265,0.5782992099993862,0.10989135500130942,1.115,0
266,0.5448752859992965,0.148466955000913,1.183,0
267,0.5528816729965911,0.18206684199685697,1.267,0
268,0.5325572069996269,0.2227323430015531,1.17,0
269,0.4918050919986854,0.17749670800185413,1.06,0
270,0.50234765300047,0.11010365800029831,1.2,0
271,0.5676315700002306,0.1822745629979181,1.103,0
272,0.4993515940004727,0.0983548799995333,1.152,0
273,0.4881846320022305,0.1798341280009481,1.134,0
274,0.5574391129994183,0.18156168600035016,1.145,0
275,0.5197527400014224,0.10976167600165354,1.108,0
276,0.547837262001849,0.18064796999897226,1.163,0
277,0.5412824679988262,0.18659344499974395,1.131,0
278,0.49958071599758114,0.19260410700007924,1.061,0
279,0.5313558410016412,0.13668657999733114,1.204,0
280,0.46543646799909766,0.18770985700029996,1.154,0
281,0.5842509770009201,0.1759921859993483,1.124,0
282,0.5626988410003833,0.17509009599962155,1.154,0
283,0.5106123059995298,0.1720438450029178,1.186,0
313,0.5216670999980124,0.1885832070001925,1.066,0
314,0.5261521399988851,0.10123397999996087,1.161,0
