SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,SingleLayerSum-Splitted,singleLayerInfTimeProf
sequential-mobilenetv2_1.00_160-block_16_project_BN-FusedBatchNormV3_0,0.21430176599983497,0.03566984699864406,0.819,4.0,0.0014240539999264001,0.00011656699643936008,8000,0.20272919700005332,0.013317425999957777,Conv,307520,310080,0.5402695130028405,0
sequential-mobilenetv2_1.00_160-Conv_1-Conv2D_0,0.19875568900010876,0.02934078499674797,0.866,3.0,0.004644802000029813,0.00020101900736335665,32000,0.19872272700013127,0.02549836200023492,Conv,409600,409600,0.5621446520044628,0
sequential-mobilenetv2_1.00_160-Conv_1_bn-FusedBatchNormV3_0,0.16949209899985362,0.06631185099831782,0.81,4.0,0.002497313000048962,0.00020485899585764855,32000,0.21478397200007748,0.009753524999950969,BatchNormalization,5120,3840,0.5544371760031481,0
sequential-global_average_pooling2d-Mean_0,0.16297315600013462,0.0307938439946156,0.822,4.0,0.001023051999936797,0.00011312100104987621,1280,0.17952315599995927,0.009401966000041284,GlobalAveragePool,0,35840,0.5964741260065693,0
sequential-dense-MatMul_0,0.16491213399990556,0.027758591997553594,0.817,4.0,0.0014614760000313254,9.939499432221055e-05,1,0.18127007299995057,0.011588017000121908,MatMul,1280,1280,0.5975704000038604,0
SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,SingleLayerSum-Splitted,singleLayerInfTimeProf
NO_SPLIT,0.1629732869998861,0,0,0,0,0,0,0,0,,,,0.6327945519997229,
NO_SPLIT,0,0.1839741700096056,1.037,4.0,0,0.00035207100154366344,76800,0.2313485260001471,0,,,,0.6117936689900034,
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.02808413199977622,0.18883195100352168,1.016,4.0,0.02565280899989375,0.0008263439958682284,204800,0.340953238000111,0.020875875999990967,Conv,896,864,0.5788517559963111,0
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.020757902000013928,0.18442011300066952,0.97,4.0,0.01581055099995865,0.0007774050027364865,204800,0.26436598700001923,0.020218567000028997,Conv,320,9312,0.5905898239989256,0
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.023062011000092753,0.1934726750041591,0.961,3.0,0.0075885310000103345,0.00045648599916603416,102400,0.2577165420000256,0.021650614000009227,Conv,528,608,0.5792331529953572,0
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,0.036927227000205676,0.16250196201144718,0.959,5.0,0.019444840999994994,0.0021872729994356632,614400,0.4532906419999563,0.0507376089999525,Conv,1536,1536,0.5963386499879562,0
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.048729090000051656,0.17832567800360266,0.895,4.0,0.04076294400010738,0.002166920996387489,614400,0.5037046120000923,0.056741297000144186,BatchNormalization,384,288,0.5687130709959547,0
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,0.04927117200008979,0.17642082199745346,0.957,3.0,0.0406584259999363,0.00215380999725312,629856,0.5191477539999596,0.04352096000002348,Pad,0,288,0.5700758450020658,0
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.02588598500005901,0.17316397299873643,0.926,3.0,0.0124787990000641,0.0006153860013000667,153600,0.5361014709999381,0.029516441999930976,Conv,960,82944,0.5967178810008136,0
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.02601874299989504,0.1892605570028536,1.022,4.0,0.005955558999858113,0.00021764299890492111,38400,0.2927017239999259,0.02357990699988477,Conv,2328,2592,0.5804885389968604,0
